Places,Location,Category,Likes_oount
"Empire Lounge, Delta",Delta,Lounge,0
Nelson Mandela Garden of 95 Trees,Delta,Park,0
Metro Bar and Grill,Delta,Lounge,0
Groove Ville Lounge,Delta,Lounge,0
Rufes Amusement Park,Delta,Park,0
Asaba International Airport,Delta,Airport,0
Signature Beyond Art Gallery,Lagos,Art gallery,0
Studio by Modé,Lagos,Art gallery,0
The Bespoke Event Center,Lagos,Hall,0
Tents Gallery,Lagos,Art gallery,0
A Whitespace,Lagos,Art gallery,0
Whispering Palms,Lagos,Resort,0
Pete's Bar,Oyo,Lounge,0
Fusion Spice Cafe,Abuja,Restaurant,236
Yahuza Suya Spot,Abuja,Restaurant,213
Café Chrysalis,Oyo,Restaurant,0
Maxin Lotus Chinese Restaurant,Delta,Restaurant,0
Strong Tower Gym,Lagos,"Spas, Saunas and Wellness centre",0
Palomino Body Shop,Rivers,"Spas, Saunas and Wellness centre",447
Blinkx Lounge,Rivers,Lounge,206
"1212 Polo and Turf, Abuja",Abuja,Sport arena,1064
"Fun Factory, Ibadan",Oyo,Play ground,0
Kaduna Polo Club,Kaduna,Sport arena,0
The Pizza Place,Abuja,Pizzeria,166
K's Pizza Place,Cross River,Pizzeria,0
Pause Lounge,Cross River,Lounge,0
2nite Klub,Enugu,Lounge,287
Sao Cafe,Lagos,Restaurant,0
Cafe Jade,Lagos,Restaurant,0
Petit Paris Cafe,Lagos,Restaurant,0
Barcode Lounge,Kaduna,Lounge,0
Orange Room,Imo,Lounge,0
Cielo Event Centre,Imo,Hall,0
Tangles Unisex Spa and Salon,Abuja,"Spas, Saunas and Wellness centre",209
Tirta Ayu Spa,Lagos,"Spas, Saunas and Wellness centre",0
Sanik Hut,Edo,Restaurant,0
Joker Club and Lounge,Edo,Club,0
Delta Pot,Lagos,Restaurant,0
RoadChef Drive-Thru,Lagos,Restaurant,0
Olympus Lounge,Abuja,Lounge,321
The Castle Lounge,Kaduna,Lounge,0
Latitude Cafe and Lounge,Oyo,Lounge,0
Aramis Lounge,Lagos,Lounge,0
Nigerian Turkish Nizamiye Hospital,Abuja,Hospital,206
Toronto Hospital,Anambra,Hospital,0
Pizza and Burger Hott,Kano,Restaurant,0
Jalsa Restaurant,Kano,Restaurant,0
Cilantro Restaurant and Lounge,Kano,Restaurant,0
The Red Coral Restaurant and Lounge,Rivers,Restaurant,233
The Hub,Rivers,Hall,482
Tilapia and Tinz,Rivers,Restaurant,919
Oceans 11,Abuja,Restaurant,255
Hi-Impact Planet Amusement Park and Resort,Lagos,Park,0
"National Hospital, Abuja",Abuja,Hospital,234
Obi Jackson Children’s Hospital,Anambra,Hospital,340
"Lagoon Hospital, Apapa",Lagos,Hospital,311
"Lagoon Hospital, Victoria Island",Lagos,Hospital,325
Delta State University Teaching Hospital,Delta,Hospital,608
Genesis Specialist Hospital,Lagos,Hospital,459
Premier Specialists Medical Centre,Lagos,Hospital,379
St. Ives Specialist Hospital,Lagos,Hospital,186
Budo Specialist Hospital,Lagos,Hospital,196
Kidney Solutions,Lagos,Hospital,194
Avon Medical,Lagos,Hospital,230
Nordica Fertility Centre,Lagos,Hospital,220
Gynescope Specialist Hospital,Rivers,Hospital,331
Akure Township Stadium,Ondo,Sport arena,2
Agege Stadium,Lagos,Sport arena,0
Obafemi Awolowo Stadium,Oyo,Sport arena,0
Karkanda Stadium,Katsina,Sport arena,1
Warri Township Stadium,Delta,Sport arena,0
Lokoja Confluence Stadium,Kogi,Sport arena,4
Abubakar Tafewa Balewa Stadium,Bauchi,Sport arena,0
Aper Aku Stadium,Benue,Sport arena,0
Adokiye Amiesimaka Stadium,Rivers,Sport arena,317
Christ Embassy,Lagos,Place of worship,0
"University of Nigeria, Nsukka",Enugu,University,301
Babcock University,Ogun,University,18
Covenant University,Ogun,University,0
Afe Babalola University,Ekiti,University,1
Ahmadu Bello University,Kaduna,University,2
Gombe State University,Gombe,University,9
University of Benin,Edo,University,0
Bevelyns Restaurant,Plateau,Restaurant,1
